"URL","Price","Date","Make","Model","Year","Mileage_in_KM","Transmission","City","Color","Fuel_Type","Class","Body_Style","Cylinder_Count","Engine_Capacity"
"https://www.contactcars.com/en/used-cars/seat-ibiza/1106210c2894","790000","10/26/2025","Seat","Ibiza","2021","73000","Automatic","Cairo","Black","Gas","null","Hatchback","4","1600CC"
"https://www.contactcars.com/en/used-cars/suzuki-ciaz/c6e56e5c258a","560000","10/26/2025","Suzuki","Ciaz","2016","300000","Automatic","Giza","Blue","Gas","null","Sedan","","1500CC"
"https://www.contactcars.com/en/used-cars/nissan-sunny/8b68b4ade6ba","410000","10/26/2025","Nissan","Sunny","2007","138357","Automatic","Cairo","Maroon","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/toyota-fortuner/8a6c8831a520","2550000","10/26/2025","Toyota","Fortuner","2017","125000","Automatic","Monufia","Gray","Gas","null","SUV","4","2700CC"
"https://www.contactcars.com/en/used-cars/range_rover-vogue/592808d9ba90","9500000","10/26/2025","Range Rover","VOGUE","2021","48000","Automatic","Cairo","Black","Gas","null","SUV","","5000CC"
"https://www.contactcars.com/en/used-cars/citroen-c_elysee/ee8d46056cb4","600000","10/26/2025","Citroën","C-Elysee","2021","83000","Automatic","Cairo","Silver","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/lada-granta/3b3b5d814d5a","400000","10/26/2025","Lada","Granta","2023","57000","Manual","Cairo","Blue","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/hyundai-avante/0f6f33e49c04","500000","10/26/2025","Hyundai","Avante","2005","10000","Automatic","Cairo","Silver","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/kia-carens/6916804f5eae","480000","10/26/2025","Kia","Carens","2010","228000","Manual","Cairo","Blue","Gas","null","Hatchback","4","1600CC"
"https://www.contactcars.com/en/used-cars/mercedes-a35/0c7ca4668b93","2700000","10/26/2025","Mercedes","A35","2021","84000","Automatic","Giza","Gray","Gas","null","Hatchback","4","2000CC"
"https://www.contactcars.com/en/used-cars/audi-a3/7e51f27f9b7b","1500000","10/26/2025","Audi","A3","2020","115000","Automatic","Cairo","White","Gas","null","Sedan","3","1000CC"
"https://www.contactcars.com/en/used-cars/mitsubishi-lancer/1f13e818d3b2","700000","10/26/2025","Mitsubishi","Lancer","2016","120000","Automatic","Cairo","Silver","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/renault-kadjar/fcf3500e5940","1100000","10/26/2025","Renault","Kadjar","2022","39000","Automatic","Giza","Red","Gas","null","SUV","4","1200CC"
"https://www.contactcars.com/en/used-cars/skoda-rapid/b514bc72b147","550000","10/26/2025","Skoda","Rapid","2015","195000","Automatic","Giza","Gray","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/mitsubishi-lancer_puma/fa785965df06","600000","10/26/2025","Mitsubishi","Lancer Puma","2014","285000","Automatic","Cairo","Gold","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/porsche-macan/c51c8ec13d7b","3950000","10/26/2025","Porsche","Macan","2021","7000","Automatic","Giza","Black","Gas","null","SUV","","2000CC"
"https://www.contactcars.com/en/used-cars/toyota-corolla/cfc4426629c0","1350000","10/26/2025","Toyota","Corolla","2022","34000","Automatic","Cairo","Blue","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/kia-sportage/b2723d202eed","1250000","10/26/2025","Kia","Sportage","2017","98000","Automatic","Cairo","Brown","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/honda-civic/6a4d081556cd","640000","10/26/2025","Honda","Civic","2008","212000","Automatic","Cairo","Black","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/renault-logan/abfb97486bb3","500000","10/26/2025","Renault","Logan","2016","245000","Manual","Cairo","Champagne","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/peugeot-3008/40ef78cc352e","1900000","10/26/2025","Peugeot","3008","2023","17500","Automatic","Cairo","Black","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/chevrolet-lanos/444410f64282","330000","10/26/2025","Chevrolet","Lanos","2015","175000","Manual","Cairo","Black","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/daewoo-lanos_ii/6f96c520ec8d","285000","10/26/2025","Daewoo","Lanos II","2004","255000","Manual","Cairo","Silver","Gas","null","Sedan","","1500CC"
"https://www.contactcars.com/en/used-cars/speranza-a113/de784f70f637","185000","10/26/2025","Speranza","A113","2007","260000","Manual","Giza","Gray","Gas","null","Hatchback","","1300CC"
"https://www.contactcars.com/en/used-cars/mercedes-c200/eb11f84ed466","3900000","10/26/2025","Mercedes","C200","2024","20000","Automatic","Cairo","Black","Gas","null","Sedan","","1500CC"
"https://www.contactcars.com/en/used-cars/volkswagen-jetta/2cec7131d388","600000","10/26/2025","Volkswagen","Jetta","2009","210000","Automatic","Giza","Silver","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/chevrolet-optra/7f5762a51be7","480000","10/26/2025","Chevrolet","Optra","2017","192500","Automatic","Cairo","Gray","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/mercedes-cls_350/383bd9c7486e","5500000","10/26/2025","Mercedes","CLS 350","2022","600","Automatic","Giza","Dark Grey","Gas","null","Sedan","4","2000CC"
"https://www.contactcars.com/en/used-cars/bmw-520i/3e26f42e0162","4400000","10/26/2025","BMW","520i","2024","17000","Automatic","Giza","Gray","Gas","null","Sedan","4","2000CC"
"https://www.contactcars.com/en/used-cars/jaguar-f_pace/20ab1f229a5e","3750000","10/26/2025","Jaguar","F-PACE","2022","38000","Automatic","Giza","Gray","Gas","null","SUV","4","2000CC"
